Class_sum,AWATER20,TRACTCE20,COUNTYFP20,MTFCC20,INTPTLAT20,BLOCKCE20,UACE20,STATEFP20,ALAND20,NAME20,UR20,FUNCSTAT20,INTPTLON20,GEOID20,system:index,UATYPE20
0.0,0,20300,1,G5040,19.7223118,1001,,15,238776,Block 1001,R,S,-155.096216,150010203001001,001d0000000000004316,
0.0,0,20802,1,G5040,19.716009,1001,,15,21926,Block 1001,R,S,-155.1052873,150010208021001,001d00000000000043df,
0.0,0,20701,1,G5040,19.6892636,1001,,15,187121,Block 1001,R,S,-155.0759766,150010207011001,001d0000000000004615,
0.0,0,21605,1,G5040,19.6640422,1001,,15,76389,Block 1001,R,S,-155.9806054,150010216051001,001d0000000000004681,
0.0,0,21013,1,G5040,19.6190425,1001,,15,1072679,Block 1001,R,S,-155.0273978,150010210131001,001d00000000000046ac,
0.0,0,21504,1,G5040,19.6760086,1001,,15,166866,Block 1001,R,S,-155.9816968,150010215041001,001d0000000000004905,
0.0,0,21705,1,G5040,20.0296978,1001,,15,105934,Block 1001,R,S,-155.6992387,150010217051001,001d0000000000004a0e,
0.0,0,21902,1,G5040,20.0561303,1001,,15,2634486,Block 1001,R,S,-155.5272171,150010219021001,001d0000000000004a41,
0.0,0,21017,1,G5040,19.4834386,1001,,15,895515,Block 1001,R,S,-155.1050539,150010210171001,001d0000000000004b73,
0.0,0,21011,1,G5040,19.5514236,1001,,15,16442,Block 1001,R,S,-155.1068493,150010210111001,001d0000000000004c93,
0.0,0,20100,1,G5040,19.8323146,1001,,15,25850,Block 1001,R,S,-155.1036189,150010201001001,001d0000000000004d31,
0.0,0,21706,1,G5040,20.023145,1001,,15,2515224,Block 1001,R,S,-155.6133377,150010217061001,001d0000000000004e40,
0.0,0,21108,1,G5040,19.5578559,1001,,15,12782,Block 1001,R,S,-154.8866746,150010211081001,001d0000000000004f02,
0.0,0,22102,1,G5040,19.9065125,1001,,15,138843200,Block 1001,R,S,-155.2526143,150010221021001,001d000000000000506f,
0.0,0,21016,1,G5040,19.5500144,1001,,15,365829,Block 1001,R,S,-155.067614,150010210161001,001d00000000000050aa,
0.0,0,21203,1,G5040,19.2016898,1001,,15,71527,Block 1001,R,S,-155.472436,150010212031001,001d000000000000512c,
0.0,0,21300,1,G5040,19.4628987,1001,,15,55536152,Block 1001,R,S,-155.8381712,150010213001001,001d000000000000515b,
0.0,0,21511,1,G5040,19.5992026,1001,,15,98323,Block 1001,R,S,-155.9592132,150010215111001,001d000000000000523f,
0.0,0,21512,1,G5040,19.6975475,1001,,15,23554,Block 1001,R,S,-155.984186,150010215121001,001d0000000000005337,
0.0,0,21101,1,G5040,19.483396,1001,,15,4784676,Block 1001,R,S,-154.8306218,150010211011001,001d00000000000053a1,
0.0,0,21513,1,G5040,19.8077868,1001,,15,141171,Block 1001,R,S,-156.0005141,150010215131001,001d00000000000053e3,
0.0,0,21510,1,G5040,19.5901073,1001,,15,257610,Block 1001,R,S,-155.9661678,150010215101001,001d00000000000054f2,
0.0,2148400,20600,1,G5040,19.7318466,1002,,15,7598,Block 1002,R,S,-155.0689255,150010206001002,001d0000000000001c4c,
0.0,0,21003,1,G5040,19.5736925,1002,,15,628648,Block 1002,R,S,-155.0108789,150010210031002,001d000000000000213f,
0.0,0,21504,1,G5040,19.6748313,1002,,15,224337,Block 1002,R,S,-155.9872286,150010215041002,001d0000000000002395,
0.0,0,21800,1,G5040,20.2421807,1002,,15,271367,Block 1002,R,S,-155.8313167,150010218001002,001d00000000000023e9,
0.0,0,21707,1,G5040,19.9408621,1002,,15,41203,Block 1002,R,S,-155.7874324,150010217071002,001d00000000000024aa,
0.0,0,21101,1,G5040,19.4925845,1002,,15,20318,Block 1002,R,S,-154.8195582,150010211011002,001d00000000000025ed,
0.0,0,20701,1,G5040,19.6892103,1002,,15,154055,Block 1002,R,S,-155.0745132,150010207011002,001d00000000000025f9,
0.0,0,21107,1,G5040,19.4132942,1002,,15,49052,Block 1002,R,S,-154.9665645,150010211071002,001d00000000000026d4,
0.0,0,22102,1,G5040,19.9652079,1002,,15,18646,Block 1002,R,S,-155.2495194,150010221021002,001d0000000000002873,
0.0,0,21708,1,G5040,19.9996576,1002,,15,77087,Block 1002,R,S,-155.8221952,150010217081002,001d00000000000028df,
0.0,0,21606,1,G5040,19.6375026,1002,,15,274800,Block 1002,R,S,-155.9832551,150010216061002,001d00000000000029c1,
0.0,0,21607,1,G5040,19.6074175,1002,,15,44450,Block 1002,R,S,-155.9609166,150010216071002,001d0000000000002d99,
0.0,0,20702,1,G5040,19.6804919,1002,,15,41517,Block 1002,R,S,-155.104752,150010207021002,001d0000000000002ee6,
0.0,0,21510,1,G5040,19.5927114,1002,,15,57591,Block 1002,R,S,-155.9636201,150010215101002,001d0000000000002f4c,
0.0,0,21013,1,G5040,19.6251622,1002,,15,15639,Block 1002,R,S,-155.0303786,150010210131002,001d0000000000002ff9,
0.0,0,22000,1,G5040,19.750511,1002,,15,244923,Block 1002,R,S,-155.534202,150010220001002,001d0000000000003138,
0.0,0,21108,1,G5040,19.5572205,1002,,15,16068,Block 1002,R,S,-154.8858679,150010211081002,001d0000000000003221,
0.0,0,21902,1,G5040,20.0645282,1002,,15,116766,Block 1002,R,S,-155.5251601,150010219021002,001d000000000000338f,
0.0,0,21011,1,G5040,19.5714439,1002,,15,618356,Block 1002,R,S,-155.1168398,150010210111002,001d00000000000035d4,
0.0,0,21300,1,G5040,19.4558053,1002,,15,12588,Block 1002,R,S,-155.8793165,150010213001002,001d00000000000036bf,
0.0,0,21511,1,G5040,19.5999357,1002,,15,78467,Block 1002,R,S,-155.9580485,150010215111002,001d00000000000036f3,
0.0,0,20100,1,G5040,19.8340942,1002,,15,47602,Block 1002,R,S,-155.1013308,150010201001002,001d00000000000037aa,
0.0,0,21016,1,G5040,19.55653,1002,,15,536580,Block 1002,R,S,-155.0714778,150010210161002,001d0000000000003b67,
0.0,0,21015,1,G5040,19.5962245,1002,,15,43568,Block 1002,R,S,-154.9375696,150010210151002,001d0000000000003c2c,
0.0,0,21017,1,G5040,19.4813353,1002,,15,255455,Block 1002,R,S,-155.0964921,150010210171002,001d0000000000003ca1,
0.0,0,21502,1,G5040,19.6113673,1002,,15,1586646,Block 1002,R,S,-155.9109877,150010215021002,001d00000000000040ba,
0.0,0,21605,1,G5040,19.6812999,1002,,15,426349,Block 1002,R,S,-155.9738759,150010216051002,001d0000000000004799,
0.0,0,20802,1,G5040,19.7138539,1002,,15,72510,Block 1002,R,S,-155.1073274,150010208021002,001d00000000000047bd,
0.0,0,20900,1,G5040,19.6724647,1002,,15,41484,Block 1002,R,S,-155.0757004,150010209001002,001d0000000000004892,
0.0,0,20801,1,G5040,19.6938661,1002,,15,3882,Block 1002,R,S,-155.0914224,150010208011002,001d0000000000004a03,
0.0,0,21513,1,G5040,19.8087219,1002,,15,75139,Block 1002,R,S,-155.9983605,150010215131002,001d0000000000004adb,
0.0,0,21512,1,G5040,19.7007904,1002,,15,206959,Block 1002,R,S,-155.9836969,150010215121002,001d0000000000004ba8,
0.0,0,20202,1,G5040,19.7654221,1002,,15,34863304,Block 1002,R,S,-155.2103295,150010202021002,001d0000000000004bad,
0.0,0,20300,1,G5040,19.7190271,1002,,15,36600,Block 1002,R,S,-155.1002551,150010203001002,001d0000000000004c68,
0.0,0,20400,1,G5040,19.7121786,1002,,15,47442,Block 1002,R,S,-155.0861088,150010204001002,001d0000000000004c72,
0.0,0,21204,1,G5040,19.0631753,1002,,15,20874,Block 1002,R,S,-155.5829887,150010212041002,001d0000000000004c91,
0.0,0,21203,1,G5040,19.2058397,1002,,15,22891,Block 1002,R,S,-155.4759304,150010212031002,001d0000000000004c9c,
0.0,0,21705,1,G5040,20.0389595,1002,,15,934537,Block 1002,R,S,-155.6966502,150010217051002,001d0000000000004df2,
0.0,0,20500,1,G5040,19.7218593,1002,,15,65146,Block 1002,R,S,-155.0678229,150010205001002,001d0000000000005210,
0.0,0,21402,1,G5040,19.5176191,1002,,15,36147,Block 1002,R,S,-155.9257108,150010214021002,001d0000000000005307,
0.0,0,21014,1,G5040,19.5885796,1002,,15,361297,Block 1002,R,S,-154.9929481,150010210141002,001d00000000000053b9,
0.0,0,21706,1,G5040,20.0238621,1002,,15,219849,Block 1002,R,S,-155.6197311,150010217061002,001d00000000000053f8,
0.0,115787,21513,1,G5040,19.8351031,1003,,15,27407337,Block 1003,R,S,-155.9609413,150010215131003,001d0000000000001f93,
0.0,0,20100,1,G5040,19.8356565,1003,,15,102521,Block 1003,R,S,-155.1015131,150010201001003,001d000000000000215a,
0.0,0,21902,1,G5040,20.0758866,1003,,15,4136699,Block 1003,R,S,-155.5287828,150010219021003,001d00000000000021e6,
0.0,0,20300,1,G5040,19.7246598,1003,,15,33061,Block 1003,R,S,-155.0912463,150010203001003,001d0000000000002240,
0.0,0,21101,1,G5040,19.4919728,1003,,15,13192,Block 1003,R,S,-154.820982,150010211011003,001d0000000000002503,
0.0,0,21402,1,G5040,19.5132452,1003,,15,587840,Block 1003,R,S,-155.9299145,150010214021003,001d00000000000026af,
0.0,0,21605,1,G5040,19.6747842,1003,,15,293953,Block 1003,R,S,-155.9694112,150010216051003,001d000000000000288e,
0.0,0,21013,1,G5040,19.6138432,1003,,15,11230,Block 1003,R,S,-155.0299556,150010210131003,001d00000000000029c7,
0.0,0,21016,1,G5040,19.5608902,1003,,15,430526,Block 1003,R,S,-155.0767763,150010210161003,001d0000000000002a4b,
0.0,0,22000,1,G5040,19.7531069,1003,,15,328503,Block 1003,R,S,-155.5315704,150010220001003,001d0000000000002bf8,
0.0,0,21014,1,G5040,19.5870563,1003,,15,348105,Block 1003,R,S,-154.9942045,150010210141003,001d0000000000002c26,
0.0,0,21800,1,G5040,20.2401848,1003,,15,103361,Block 1003,R,S,-155.8330265,150010218001003,001d0000000000002c4c,
0.0,0,21003,1,G5040,19.5766121,1003,,15,156409,Block 1003,R,S,-155.00949,150010210031003,001d0000000000002e5b,
0.0,0,21606,1,G5040,19.6355863,1003,,15,18889,Block 1003,R,S,-155.9801039,150010216061003,001d0000000000002e7e,
0.0,0,20701,1,G5040,19.6884244,1003,,15,353542,Block 1003,R,S,-155.0719665,150010207011003,001d0000000000002e8c,
0.0,0,21706,1,G5040,20.0239823,1003,,15,1064,Block 1003,R,S,-155.6258465,150010217061003,001d00000000000032ae,
0.0,0,22102,1,G5040,19.9218029,1003,,15,1020363,Block 1003,R,S,-155.1690471,150010221021003,001d00000000000035e5,
0.0,0,21511,1,G5040,19.5988562,1003,,15,474466,Block 1003,R,S,-155.9524831,150010215111003,001d0000000000003cca,
0.0,0,21705,1,G5040,20.0760553,1003,,15,61675157,Block 1003,R,S,-155.7081877,150010217051003,001d0000000000003d07,
0.0,0,21108,1,G5040,19.5584471,1003,,15,10763,Block 1003,R,S,-154.8874596,150010211081003,001d0000000000003e1e,
0.0,0,21107,1,G5040,19.3530671,1003,,15,87167,Block 1003,R,S,-154.9880175,150010211071003,001d0000000000003e8a,
0.0,0,20900,1,G5040,19.6725569,1003,,15,54013,Block 1003,R,S,-155.0743808,150010209001003,001d0000000000003e9b,
0.0,0,20202,1,G5040,19.7320894,1003,,15,336671,Block 1003,R,S,-155.1305674,150010202021003,001d0000000000003faa,
0.0,0,20702,1,G5040,19.6809782,1003,,15,86401,Block 1003,R,S,-155.1010457,150010207021003,001d0000000000003ff7,
0.0,0,21707,1,G5040,19.9423138,1003,,15,87682,Block 1003,R,S,-155.78427,150010217071003,001d00000000000040e8,
0.0,0,20600,1,G5040,19.7272251,1003,,15,580832,Block 1003,R,S,-155.0555188,150010206001003,001d0000000000004441,
0.0,0,21203,1,G5040,19.2025463,1003,,15,26480,Block 1003,R,S,-155.4741655,150010212031003,001d0000000000004487,
0.0,0,20802,1,G5040,19.7131735,1003,,15,1558556,Block 1003,R,S,-155.1172242,150010208021003,001d00000000000044d7,
0.0,0,21510,1,G5040,19.5912783,1003,,15,22700,Block 1003,R,S,-155.9633113,150010215101003,001d0000000000004562,
0.0,0,21502,1,G5040,19.6208462,1003,,15,14945,Block 1003,R,S,-155.9487009,150010215021003,001d0000000000004654,
0.0,0,21017,1,G5040,19.4898368,1003,,15,252479,Block 1003,R,S,-155.1016441,150010210171003,001d0000000000004865,
0.0,0,20500,1,G5040,19.7218873,1003,,15,23082,Block 1003,R,S,-155.0650437,150010205001003,001d00000000000048c6,
0.0,0,21607,1,G5040,19.6043782,1003,,15,32727,Block 1003,R,S,-155.9619763,150010216071003,001d0000000000004a06,
0.0,0,21512,1,G5040,19.7058938,1003,,15,207446,Block 1003,R,S,-155.9808731,150010215121003,001d0000000000004b67,
0.0,0,21015,1,G5040,19.5949043,1003,,15,18246,Block 1003,R,S,-154.9355498,150010210151003,001d0000000000004cc0,
0.0,0,20400,1,G5040,19.7114785,1003,,15,13451,Block 1003,R,S,-155.0844765,150010204001003,001d0000000000004e9c,
0.0,0,20801,1,G5040,19.6949668,1003,,15,289445,Block 1003,R,S,-155.0953679,150010208011003,001d0000000000004f89,
0.0,0,21504,1,G5040,19.6715582,1003,,15,27805,Block 1003,R,S,-155.98599,150010215041003,001d0000000000004fe9,
0.0,0,21300,1,G5040,19.4540436,1003,,15,10884,Block 1003,R,S,-155.87941,150010213001003,001d0000000000005204,
0.0,0,21011,1,G5040,19.5630143,1003,,15,11784259,Block 1003,R,S,-155.1309229,150010210111003,001d0000000000005280,
0.0,0,21204,1,G5040,19.0626422,1003,,15,19016,Block 1003,R,S,-155.5826938,150010212041003,001d0000000000005418,
0.0,0,21608,1,G5040,19.6225418,1003,,15,55562,Block 1003,R,S,-155.986125,150010216081003,001d0000000000005475,
0.0,6155,22000,1,G5040,19.8281671,1004,,15,214905552,Block 1004,R,S,-155.4950421,150010220001004,001d0000000000001e65,
0.0,6948,21800,1,G5040,20.2450808,1004,,15,683849,Block 1004,R,S,-155.8367184,150010218001004,001d0000000000002060,
0.0,0,21504,1,G5040,19.6697181,1004,,15,279100,Block 1004,R,S,-155.9851167,150010215041004,001d000000000000234b,
0.0,0,20400,1,G5040,19.711111,1004,,15,13130,Block 1004,R,S,-155.0866207,150010204001004,001d000000000000239e,
0.0,0,21017,1,G5040,19.5000447,1004,,15,253552,Block 1004,R,S,-155.107823,150010210171004,001d00000000000025f1,
0.0,0,20702,1,G5040,19.6776552,1004,,15,254757,Block 1004,R,S,-155.1006114,150010207021004,001d0000000000002845,
0.0,0,21203,1,G5040,19.2037378,1004,,15,13698,Block 1004,R,S,-155.4738369,150010212031004,001d0000000000002949,
0.0,0,21014,1,G5040,19.585633,1004,,15,347955,Block 1004,R,S,-154.9955119,150010210141004,001d0000000000002bc2,
0.0,0,21204,1,G5040,19.0637688,1004,,15,20464,Block 1004,R,S,-155.5831641,150010212041004,001d0000000000002be3,
0.0,0,21502,1,G5040,19.6306041,1004,,15,780171,Block 1004,R,S,-155.9531289,150010215021004,001d0000000000002d1d,
0.0,0,21011,1,G5040,19.5799219,1004,,15,6576362,Block 1004,R,S,-155.1470891,150010210111004,001d0000000000002dd9,
0.0,0,21510,1,G5040,19.5926528,1004,,15,13967,Block 1004,R,S,-155.9679408,150010215101004,001d0000000000002e77,
0.0,0,20300,1,G5040,19.7254047,1004,,15,13224,Block 1004,R,S,-155.089864,150010203001004,001d0000000000002f2e,
0.0,0,20801,1,G5040,19.6992759,1004,,15,547362,Block 1004,R,S,-155.094706,150010208011004,001d00000000000030a4,
0.0,0,20802,1,G5040,19.7103858,1004,,15,34796,Block 1004,R,S,-155.109527,150010208021004,001d000000000000323f,
0.0,0,21605,1,G5040,19.6573723,1004,,15,1569293,Block 1004,R,S,-155.9651889,150010216051004,001d000000000000335a,
0.0,0,21512,1,G5040,19.7086062,1004,,15,114971,Block 1004,R,S,-155.9784951,150010215121004,001d000000000000335c,
0.0,0,20600,1,G5040,19.7352318,1004,,15,642915,Block 1004,R,S,-155.0326558,150010206001004,001d0000000000003478,
0.0,0,20202,1,G5040,19.7496326,1004,,15,99620,Block 1004,R,S,-155.1175902,150010202021004,001d0000000000003584,
0.0,0,21107,1,G5040,19.4853554,1004,,15,664444,Block 1004,R,S,-154.9507283,150010211071004,001d0000000000003763,
0.0,0,21300,1,G5040,19.4498816,1004,,15,72119,Block 1004,R,S,-155.8784542,150010213001004,001d00000000000037af,
0.0,0,20701,1,G5040,19.6901875,1004,,15,18026,Block 1004,R,S,-155.0702667,150010207011004,001d000000000000397b,
0.0,0,20100,1,G5040,19.8380859,1004,,15,76497,Block 1004,R,S,-155.1022659,150010201001004,001d0000000000003aa7,
0.0,0,21016,1,G5040,19.5643105,1004,,15,209170,Block 1004,R,S,-155.0703792,150010210161004,001d0000000000003afc,
0.0,0,21015,1,G5040,19.5990441,1004,,15,184460,Block 1004,R,S,-154.9423486,150010210151004,001d0000000000003bf6,
0.0,0,21013,1,G5040,19.6377334,1004,,15,1304707,Block 1004,R,S,-155.0380745,150010210131004,001d0000000000003cf1,
0.0,0,21708,1,G5040,19.9994312,1004,,15,45370,Block 1004,R,S,-155.8260136,150010217081004,001d0000000000003e06,
0.0,0,21705,1,G5040,20.0453209,1004,,15,1332625,Block 1004,R,S,-155.6844463,150010217051004,001d0000000000003e53,
0.0,0,21707,1,G5040,19.9443634,1004,,15,71681,Block 1004,R,S,-155.7833077,150010217071004,001d0000000000003f1c,
0.0,0,21606,1,G5040,19.6361256,1004,,15,6429,Block 1004,R,S,-155.9816029,150010216061004,001d000000000000403b,
0.0,0,21108,1,G5040,19.5598796,1004,,15,8879,Block 1004,R,S,-154.8882452,150010211081004,001d00000000000042ab,
0.0,0,21513,1,G5040,19.8195378,1004,,15,1255332,Block 1004,R,S,-155.9826047,150010215131004,001d00000000000042d5,
0.0,0,21706,1,G5040,20.0343633,1004,,15,1268367,Block 1004,R,S,-155.6146196,150010217061004,001d00000000000049bf,
