Class_71,Class_82,Class_95,Class_41,Class_31,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_23,Class_24,Class_90,AWATER20,TRACTCE20,COUNTYFP20,MTFCC20,INTPTLAT20,BLOCKCE20,UACE20,STATEFP20,ALAND20,NAME20,UR20,FUNCSTAT20,INTPTLON20,GEOID20,system:index,UATYPE20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10700,1,G5040,38.9011233,1027,,11,5425,Block 1027,R,S,-77.0454909,110010107001027,00b30000000000007c15,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11100,1,G5040,38.923617,1027,,11,1830,Block 1027,R,S,-76.9667756,110010111001027,00b30000000000007fb4,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0,7401,1,G5040,38.8603367,1027,,11,46816,Block 1027,R,S,-76.9982729,110010074011027,00b300000000000080c2,
0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0,1500,1,G5040,38.9697446,1027,,11,9648,Block 1027,R,S,-77.0452511,110010015001027,00b300000000000089a2,
0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,99,1500,1,G5040,38.9716917,1028,,11,17758,Block 1028,R,S,-77.0414053,110010015001028,00b300000000000073aa,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.12,0.03,0.07,0.0,0,11100,1,G5040,38.9175873,1028,,11,114165,Block 1028,R,S,-76.9645742,110010111001028,00b3000000000000749f,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0,7301,1,G5040,38.8329082,1028,,11,12883,Block 1028,R,S,-77.0179489,110010073011028,00b3000000000000793f,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.05,0.06,0.0,0,980000,1,G5040,38.893632,1028,,11,112281,Block 1028,R,S,-77.0299692,110019800001028,00b30000000000007e18,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0,10700,1,G5040,38.900884,1028,,11,12227,Block 1028,R,S,-77.0441128,110010107001028,00b30000000000007ffd,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9601,1,G5040,38.9026677,1028,,11,1119,Block 1028,R,S,-76.943466,110010096011028,00b30000000000008117,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0,7301,1,G5040,38.8357596,1029,,11,9069,Block 1029,R,S,-77.0190593,110010073011029,00b300000000000075ea,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0,9601,1,G5040,38.9026109,1029,,11,9530,Block 1029,R,S,-76.9427555,110010096011029,00b30000000000007bcb,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0,980000,1,G5040,38.8950726,1029,,11,9814,Block 1029,R,S,-77.0313618,110019800001029,00b30000000000007e34,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10700,1,G5040,38.9000129,1029,,11,5533,Block 1029,R,S,-77.042317,110010107001029,00b30000000000007f4d,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11100,1,G5040,38.9180071,1029,,11,1371,Block 1029,R,S,-76.9719647,110010111001029,00b30000000000008416,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0,1500,1,G5040,38.9668893,1029,,11,27451,Block 1029,R,S,-77.0583229,110010015001029,00b3000000000000882a,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.08,0.07,0.0,0,11100,1,G5040,38.9197994,1030,,11,149763,Block 1030,R,S,-76.9601551,110010111001030,00b30000000000007a70,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.02,0.0,0.0,0,7301,1,G5040,38.8369672,1030,,11,49294,Block 1030,R,S,-77.017739,110010073011030,00b30000000000007afc,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0,9601,1,G5040,38.9063655,1030,,11,32580,Block 1030,R,S,-76.9375502,110010096011030,00b30000000000007d45,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0,10700,1,G5040,38.899683,1030,,11,21841,Block 1030,R,S,-77.0404308,110010107001030,00b30000000000007f6b,
0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.07,0.2,0.05,0.0,0.0,0,1500,1,G5040,38.9643411,1030,,11,206429,Block 1030,R,S,-77.0554436,110010015001030,00b30000000000008135,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.01,0.0,0,980000,1,G5040,38.893794,1030,,11,55495,Block 1030,R,S,-77.0327979,110019800001030,00b300000000000081de,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0,9601,1,G5040,38.9043024,1031,,11,13278,Block 1031,R,S,-76.9407659,110010096011031,00b300000000000078de,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.07,0.0,0.0,0,7301,1,G5040,38.8347659,1031,,11,95652,Block 1031,R,S,-77.0161956,110010073011031,00b30000000000007f3e,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.0,0,980000,1,G5040,38.8959041,1031,,11,12913,Block 1031,R,S,-77.0328626,110019800001031,00b30000000000008115,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11100,1,G5040,38.9227885,1031,,11,2870,Block 1031,R,S,-76.961624,110010111001031,00b30000000000008301,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0,10700,1,G5040,38.8994733,1031,,11,20980,Block 1031,R,S,-77.0386988,110010107001031,00b300000000000086b8,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0,10700,1,G5040,38.9020575,1032,,11,16368,Block 1032,R,S,-77.047558,110010107001032,00b30000000000007b09,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0,7301,1,G5040,38.8394962,1032,,11,12073,Block 1032,R,S,-77.0205903,110010073011032,00b30000000000008177,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0,9601,1,G5040,38.9018598,1032,,11,8306,Block 1032,R,S,-76.9436945,110010096011032,00b300000000000083d8,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0,980000,1,G5040,38.8959365,1032,,11,12877,Block 1032,R,S,-77.0343668,110019800001032,00b30000000000008435,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11100,1,G5040,38.9238198,1032,,11,1339,Block 1032,R,S,-76.9631643,110010111001032,00b30000000000008a3d,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11100,1,G5040,38.9246322,1033,,11,2039,Block 1033,R,S,-76.9643658,110010111001033,00b300000000000074e1,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0,980000,1,G5040,38.897586,1033,,11,32444,Block 1033,R,S,-77.0343565,110019800001033,00b3000000000000821b,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9601,1,G5040,38.9020814,1033,,11,2615,Block 1033,R,S,-76.9441747,110010096011033,00b30000000000008939,
