Class_81,Class_71,Class_82,Class_95,Class_41,Class_52,Class_31,Class_42,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_23,Class_24,Class_90,AWATER20,TRACTCE20,COUNTYFP20,MTFCC20,INTPTLAT20,BLOCKCE20,UACE20,STATEFP20,ALAND20,NAME20,UR20,FUNCSTAT20,INTPTLON20,GEOID20,system:index,UATYPE20
0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0,42100,1,G5040,39.0366482,1034,,10,13850,Block 1034,R,S,-75.5728493,100010421001034,00b40000000000003005,
0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.05,0.0,0.0,0.0,0,42207,1,G5040,39.0552324,1035,,10,42464,Block 1035,R,S,-75.5098312,100010422071035,00b40000000000001708,
0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0,43100,1,G5040,38.9367171,1035,,10,519671,Block 1035,R,S,-75.6477535,100010431001035,00b40000000000001773,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42802,1,G5040,39.0118079,1035,,10,4100,Block 1035,R,S,-75.5682569,100010428021035,00b40000000000001813,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0,42500,1,G5040,38.9272312,1035,,10,23091,Block 1035,R,S,-75.4276487,100010425001035,00b4000000000000202f,
0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0,42100,1,G5040,39.0407983,1035,,10,28860,Block 1035,R,S,-75.574325,100010421001035,00b400000000000026bc,
0.01,0.0,1.08,0.0,0.13,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2.09,0.0,0.0,0.77,0,42801,1,G5040,38.9640929,1035,,10,2087774,Block 1035,R,S,-75.6862474,100010428011035,00b40000000000002840,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0,42900,1,G5040,38.86146,1035,,10,13463,Block 1035,R,S,-75.5489708,100010429001035,00b40000000000002850,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0,43000,1,G5040,38.925457,1035,,10,26952,Block 1035,R,S,-75.5810467,100010430001035,00b40000000000002a4f,
0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0,43400,1,G5040,38.9976876,1035,,10,20006,Block 1035,R,S,-75.4908845,100010434001035,00b40000000000002cd1,
