,GEOID,grassland,cultivated_crops,emergent_herbaceous,decidous _forest,shrub,barren_land,evergreen_forest,developed_openspace,mixed_forest,open-water,developed_lowintensity,developed_mediumintensity,developed_highintensity,woodywetlands
149,010070100011,9.43,0.0,0.0,32.52,11.33,0.18,27.64,3.62,15.92,0.9,0.0,0.0,0.0,2.97
150,010070100012,3.76,0.0,0.0,31.86,17.44,0.0,52.58,2.65,14.31,1.22,0.2,0.0,0.0,1.09
151,010070100021,2.32,0.0,0.0,12.48,2.55,0.0,11.54,3.63,5.49,0.01,0.1,0.0,0.0,0.89
152,010070100022,6.28,0.0,0.0,37.18,12.42,0.0,46.61,2.94,6.78,0.77,0.38,0.0,0.08,2.0
153,010070100023,3.43,0.0,0.0,8.22,0.69,0.0,3.46,2.91,1.42,0.37,0.24,0.08,0.08,1.04
154,010070100031,5.22,0.0,0.0,18.64,9.1,0.0,32.08,1.95,11.85,0.15,0.25,0.09,0.0,0.86
155,010070100032,6.5,0.3,0.14,33.71,12.8,0.0,62.26,3.45,33.16,0.88,0.37,0.26,0.0,16.55
156,010070100033,12.23,0.2,0.0,55.91,20.08,0.98,85.67,6.37,18.06,1.84,0.18,0.4,0.0,0.92
157,010070100034,17.4,0.15,0.08,38.23,21.18,0.18,81.53,5.93,15.63,0.17,0.37,0.0,0.0,10.99
158,010070100041,7.87,0.0,0.0,24.99,18.64,0.0,29.46,2.6,19.21,0.23,0.8,0.07,0.0,9.0
159,010070100042,2.22,0.0,0.0,8.84,6.88,0.0,7.02,1.95,5.72,0.0,0.32,0.5,0.0,4.45
160,010070100043,6.33,0.0,0.08,62.86,14.94,0.0,94.48,6.09,58.19,0.08,0.0,0.0,0.0,18.48
161,010070100044,0.46,0.23,0.53,1.81,0.93,0.0,5.47,2.42,5.58,0.93,0.49,0.47,0.08,32.43
162,010070100045,0.0,0.08,0.0,0.0,0.08,0.0,0.08,0.9,0.57,0.0,0.49,0.07,0.01,0.36
163,010070100046,0.23,0.08,0.0,2.53,1.59,0.0,2.28,1.85,1.81,0.05,0.83,0.47,0.05,0.08
164,010090501011,0.07,0.0,0.0,4.66,0.07,0.0,0.92,0.86,0.39,0.0,1.04,0.41,0.1,0.22
165,010090501012,0.47,0.0,0.0,5.07,0.14,0.0,0.57,0.74,0.85,0.0,0.91,0.16,0.18,0.0
166,010090501013,0.45,0.0,0.0,14.9,0.33,0.0,2.37,2.32,2.33,0.6,0.07,0.03,0.0,0.09
167,010090501014,1.57,0.0,0.0,22.59,1.5,0.0,6.99,1.67,1.89,0.89,0.0,0.07,0.0,0.06
168,010090501015,2.24,0.0,0.0,53.73,6.45,0.07,22.0,2.16,2.99,5.74,0.82,0.0,0.0,0.22
169,010090501021,0.24,0.0,0.0,2.34,0.07,0.0,0.59,0.9,0.54,0.45,0.88,0.1,0.04,0.13
170,010090501022,1.36,0.59,0.0,29.29,1.65,0.07,6.62,2.35,6.02,0.58,0.59,0.57,0.04,0.17
171,010090501023,0.36,0.0,0.0,14.33,0.16,0.07,1.79,1.91,2.39,0.15,0.34,0.22,0.09,0.0
172,010090501024,2.16,0.19,0.0,36.42,2.18,0.22,6.85,2.96,4.71,0.3,0.87,0.15,0.0,1.17
173,010090502001,1.42,0.07,0.0,18.15,1.87,0.0,7.73,1.04,4.24,0.15,0.27,0.07,0.0,0.07
174,010090502002,3.64,0.92,0.0,11.31,0.93,0.0,5.83,1.99,2.42,0.27,0.67,0.37,0.0,0.32
175,010090503001,1.56,5.71,0.0,7.7,0.71,0.0,0.83,1.19,2.02,0.07,0.55,0.02,0.0,0.0
176,010090503002,1.24,3.22,0.0,8.17,0.07,0.11,1.21,1.33,2.16,0.3,0.32,0.02,0.0,0.22
177,010090503003,0.34,1.63,0.0,5.42,0.23,0.0,4.22,0.82,3.03,0.09,0.15,0.22,0.07,0.0
178,010090503004,1.17,1.8,0.0,19.03,1.22,0.15,2.01,1.15,2.29,0.01,0.03,0.0,0.07,0.0
179,010090504001,1.95,2.6,0.0,18.76,1.41,0.3,3.28,0.65,4.01,0.0,0.07,0.07,0.0,0.15
180,010090504002,1.89,1.21,0.0,20.96,1.72,0.37,1.87,1.91,2.58,0.07,0.63,0.0,0.0,0.0
181,010090504003,1.07,0.52,0.0,16.48,3.62,0.0,1.78,0.96,1.5,0.45,0.11,0.07,0.0,0.0
182,010090504004,1.52,1.32,0.07,6.98,0.72,0.0,2.6,0.46,2.11,0.06,0.0,0.19,0.0,0.22
183,010090505001,0.62,0.0,0.01,10.08,0.92,0.0,2.76,0.85,2.98,0.07,0.22,0.0,0.0,0.37
184,010090505002,0.4,1.04,0.0,15.91,0.41,0.0,0.82,0.85,2.29,0.22,0.35,0.04,0.0,0.0
185,010090505003,1.16,0.0,0.0,23.46,1.82,0.0,3.23,1.33,2.01,0.07,0.47,0.04,0.22,0.0
186,010090505004,0.15,0.19,0.0,25.88,0.24,0.0,1.8,1.37,1.3,0.24,0.03,0.0,0.0,0.14
187,010090505005,0.87,0.0,0.0,37.78,0.26,0.07,3.05,1.8,2.21,0.33,0.07,0.0,0.0,0.1
188,010090506011,1.78,0.0,0.0,31.15,1.89,0.07,5.68,2.71,4.58,0.03,0.31,0.0,0.0,0.96
189,010090506012,0.4,0.0,0.0,11.82,0.16,0.07,0.83,0.41,0.33,0.0,0.4,0.12,0.0,0.07
190,010090506021,0.3,0.11,0.0,36.32,1.15,0.07,7.58,1.63,1.85,0.5,0.2,0.08,0.0,0.23
191,010090506022,0.26,0.0,0.0,10.23,0.34,0.07,4.32,2.3,2.18,1.04,0.55,0.0,0.0,0.0
192,010090506023,1.09,0.0,0.0,8.8,0.23,0.01,1.75,0.9,0.54,0.0,0.13,0.07,0.0,0.07
193,010090506024,0.72,0.0,0.0,29.18,0.22,0.0,4.16,1.89,1.53,0.07,0.23,0.03,0.0,0.08
194,010090506025,0.85,0.0,0.0,18.92,0.85,0.0,5.18,1.72,1.56,0.3,0.17,0.0,0.0,0.07
195,010090507001,4.28,0.12,0.0,34.49,1.47,0.95,19.14,2.24,5.84,0.73,0.49,0.01,0.0,0.15
196,010090507002,0.64,0.0,0.0,22.65,1.0,0.1,6.11,2.49,1.17,0.07,0.13,0.0,0.0,0.12
197,010090507003,0.9,0.0,0.0,23.91,0.3,0.0,0.58,1.11,0.81,0.52,0.85,0.07,0.0,0.25
198,010090507004,0.3,0.03,0.0,25.48,1.18,0.0,3.13,0.9,1.23,0.07,0.4,0.07,0.0,0.0
199,010119521001,10.92,16.77,0.3,80.47,49.19,0.48,115.57,5.3,54.34,4.34,0.79,0.0,,61.89
200,010119522001,3.0,1.97,0.0,9.7,16.39,0.0,43.0,2.08,18.39,0.86,0.81,0.06,,13.4
201,010119522002,3.18,2.02,0.0,16.01,6.95,0.0,33.3,2.35,17.62,0.59,0.45,0.21,,3.5
202,010119522003,2.26,5.87,0.59,13.41,15.95,0.08,42.96,2.39,22.26,3.43,0.56,0.42,,29.82
203,010119525001,5.66,2.35,0.63,26.15,11.7,0.38,73.09,2.37,47.73,2.57,0.15,0.0,,56.88
204,010119525002,10.16,4.41,0.3,12.04,20.57,0.08,112.13,3.52,38.47,1.14,0.05,0.08,,27.44
205,010119525003,9.0,1.96,0.08,22.99,20.61,0.0,69.02,2.83,34.81,2.36,0.15,0.08,,13.29
206,010139527001,2.8,0.0,0.08,20.53,3.45,0.06,15.58,2.12,10.18,0.0,0.8,0.47,0.08,3.48
207,010139527002,4.28,0.91,0.0,10.66,4.05,0.0,17.86,1.42,12.27,0.23,0.49,0.16,0.0,3.43
208,010139528001,0.0,0.0,0.0,0.0,0.0,0.0,0.17,1.5,0.61,0.0,0.67,0.33,0.04,0.0
209,010139529001,1.37,0.0,0.0,8.79,1.33,0.02,15.64,1.4,9.33,0.23,0.09,0.06,0.07,1.79
210,010139529002,0.41,0.0,0.0,3.28,0.71,0.31,1.39,1.46,2.84,0.08,0.91,0.21,0.04,1.64
211,010139530001,13.17,0.11,0.15,85.43,19.0,0.0,67.56,4.32,56.32,0.53,0.01,0.0,0.0,8.43
212,010139530002,19.64,7.66,0.0,7.7,19.31,0.0,67.11,2.39,30.43,0.08,0.0,0.0,0.0,7.28
213,010139531001,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.84,0.14,0.0,0.2,0.04,0.0,0.0
214,010139531002,0.08,0.0,0.0,0.9,1.07,0.01,0.15,0.47,1.63,0.35,0.3,0.0,0.0,0.15
215,010139531003,0.61,0.0,0.0,1.43,0.84,0.06,9.52,0.58,6.15,0.08,0.14,0.0,0.0,3.18
216,010139532001,6.08,1.37,0.08,18.68,7.63,0.08,36.84,2.03,23.17,0.23,0.05,0.08,0.0,23.25
